"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"","","","","","image-keyboard-response","555","2.0.0","594804","p20xng64d9m","p73","null","stimuli/playground_11.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","556","2.0.0","595808","p20xng64d9m","p73","null","stimuli/woods_26.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","557","2.0.0","596811","p20xng64d9m","p73","null","stimuli/kitchen_6.jpg","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","558","2.0.0","597268","p20xng64d9m","p73","455","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","1","","","1","","","","[""G"",""H"",""I""]","[""G"",""K"",""C""]","true","[""<p>Sequence 1</p>"",""stimuli/playground_11.jpg"",""stimuli/bar_29.jpg"",""stimuli/stream_50.jpg""]","[""<p>Sequence 2</p>"",""stimuli/playground_11.jpg"",""stimuli/woods_26.jpg"",""stimuli/kitchen_6.jpg""]"
"","","","","","html-keyboard-response","559","2.0.0","598271","p20xng64d9m","p73","null","<p>Sequence 1</p>","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","560","2.0.0","599275","p20xng64d9m","p73","null","stimuli/bathroom_36.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","561","2.0.0","600279","p20xng64d9m","p73","null","stimuli/field_49.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","562","2.0.0","601282","p20xng64d9m","p73","null","stimuli/coast_42.jpg","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","563","2.0.0","602285","p20xng64d9m","p73","null","<p></p>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","564","2.0.0","603288","p20xng64d9m","p73","null","<p>Sequence 2</p>","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","565","2.0.0","604293","p20xng64d9m","p73","null","stimuli/desert_4.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","566","2.0.0","605296","p20xng64d9m","p73","null","stimuli/gym_67.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","567","2.0.0","606299","p20xng64d9m","p73","null","stimuli/coast_42.jpg","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","568","2.0.0","606682","p20xng64d9m","p73","381","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","1","","","1","","","","[""D"",""E"",""F""]","[""J"",""B"",""F""]","true","[""<p>Sequence 1</p>"",""stimuli/bathroom_36.jpg"",""stimuli/field_49.jpg"",""stimuli/coast_42.jpg""]","[""<p>Sequence 2</p>"",""stimuli/desert_4.jpg"",""stimuli/gym_67.jpg"",""stimuli/coast_42.jpg""]"
"","","","","","html-keyboard-response","569","2.0.0","607684","p20xng64d9m","p73","null","<p>Sequence 1</p>","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","570","2.0.0","608688","p20xng64d9m","p73","null","stimuli/desert_4.jpg","null","","","","","","","","","","",""
